id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
33,Central African Republic,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/250px-Flag_of_the_Central_African_Republic.svg.png,,2025-09-07 18:54:29+03,0,0,country
34,Chad,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/250px-Flag_of_Chad.svg.png,,2025-09-07 18:54:29+03,0,0,country
35,Chile,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/250px-Flag_of_Chile.svg.png,,2025-09-07 18:54:29+03,0,0,country
36,China,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/250px-Flag_of_the_People%27s_Republic_of_China.svg.png,,2025-09-07 18:54:29+03,0,0,country
37,Colombia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/250px-Flag_of_Colombia.svg.png,,2025-09-07 18:54:29+03,0,0,country
38,Comoros,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/250px-Flag_of_the_Comoros.svg.png,,2025-09-07 18:54:29+03,0,0,country
39,Democratic Republic of the Congo,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/250px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,,2025-09-07 18:54:29+03,0,0,country
16,Belarus,UN,1,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/250px-Flag_of_Belarus.svg.png,,2025-09-07 18:54:29+03,1,0,country
40,Republic of the Congo,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/250px-Flag_of_the_Republic_of_the_Congo.svg.png,,2025-09-07 18:54:29+03,0,0,country
41,Costa Rica,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/250px-Flag_of_Costa_Rica.svg.png,,2025-09-07 18:54:29+03,0,0,country
43,Cuba,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bd/Flag_of_Cuba.svg/250px-Flag_of_Cuba.svg.png,,2025-09-07 18:54:29+03,0,0,country
44,Cyprus,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Cyprus.svg/250px-Flag_of_Cyprus.svg.png,,2025-09-07 18:54:29+03,0,0,country
45,Czech Republic,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Flag_of_the_Czech_Republic.svg/250px-Flag_of_the_Czech_Republic.svg.png,,2025-09-07 18:54:29+03,0,0,country
46,Denmark,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Denmark.svg/250px-Flag_of_Denmark.svg.png,,2025-09-07 18:54:29+03,0,0,country
