id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
1,Afghanistan,,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Flag_of_the_Taliban.svg/250px-Flag_of_the_Taliban.svg.png,,2025-09-07 18:54:29,0,0,country
2,Albania,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Flag_of_Albania.svg/250px-Flag_of_Albania.svg.png,,2025-09-07 18:54:29,0,0,country
3,Algeria,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/250px-Flag_of_Algeria.svg.png,,2025-09-07 18:54:29,0,0,country
4,Andorra,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/19/Flag_of_Andorra.svg/250px-Flag_of_Andorra.svg.png,,2025-09-07 18:54:29,0,0,country
5,Angola,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Flag_of_Angola.svg/250px-Flag_of_Angola.svg.png,,2025-09-07 18:54:29,0,0,country
6,Antigua and Barbuda,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/Flag_of_Antigua_and_Barbuda.svg/250px-Flag_of_Antigua_and_Barbuda.svg.png,,2025-09-07 18:54:29,0,0,country
7,Argentina,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Flag_of_Argentina.svg/250px-Flag_of_Argentina.svg.png,,2025-09-07 18:54:29,0,0,country
8,Armenia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Flag_of_Armenia.svg/250px-Flag_of_Armenia.svg.png,,2025-09-07 18:54:29,0,0,country
9,Australia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Flag_of_Australia_%28converted%29.svg/250px-Flag_of_Australia_%28converted%29.svg.png,,2025-09-07 18:54:29,0,0,country
10,Austria,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_Austria.svg/250px-Flag_of_Austria.svg.png,,2025-09-07 18:54:29,0,0,country
11,Azerbaijan,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dd/Flag_of_Azerbaijan.svg/250px-Flag_of_Azerbaijan.svg.png,,2025-09-07 18:54:29,0,0,country
12,The Bahamas,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Flag_of_the_Bahamas.svg/250px-Flag_of_the_Bahamas.svg.png,,2025-09-07 18:54:29,0,0,country
13,Bahrain,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Flag_of_Bahrain.svg/250px-Flag_of_Bahrain.svg.png,,2025-09-07 18:54:29,0,0,country
14,Bangladesh,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/250px-Flag_of_Bangladesh.svg.png,,2025-09-07 18:54:29,0,0,country
15,Barbados,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ef/Flag_of_Barbados.svg/250px-Flag_of_Barbados.svg.png,,2025-09-07 18:54:29,0,0,country
16,Belarus,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Flag_of_Belarus.svg/250px-Flag_of_Belarus.svg.png,,2025-09-07 18:54:29,0,0,country
17,Belgium,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Flag_of_Belgium.svg/250px-Flag_of_Belgium.svg.png,,2025-09-07 18:54:29,0,0,country
18,Belize,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e7/Flag_of_Belize.svg/250px-Flag_of_Belize.svg.png,,2025-09-07 18:54:29,0,0,country
19,Benin,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0a/Flag_of_Benin.svg/250px-Flag_of_Benin.svg.png,,2025-09-07 18:54:29,0,0,country
