№	Город	Регион	Население
760	Щигры	Курская область	17043
761	Новоузенск	Саратовская область	17015
762	Касли	Челябинская область	16998
763	Болотное	Новосибирская область	16969
764	Жирновск	Волгоградская область	16890
765	Ясногорск	Тульская область	16804
766	Приволжск	Ивановская область	16749
767	Кондрово	Калужская область	16672
768	Бокситогорск	Ленинградская область	16593
769	Советск	Кировская область	16592
770	Судак(Оспаривается)	Крым	16492
771	Мензелинск	Татарстан	16474
772	Поронайск	Сахалинская область	16461
773	Калининск	Саратовская область	16442
774	Навашино	Нижегородская область	16413
775	Звенигород	Московская область	16395
776	Агидель	Башкортостан	16365
777	Белогорск(Оспаривается)	Крым	16354
778	Невель	Псковская область	16324
779	Сухиничи	Калужская область	16295
780	Камызяк	Астраханская область	16291
781	Плавск	Тульская область	16248
782	Кашин	Тверская область	16174
783	Чудово	Новгородская область	16148
784	Иланский	Красноярский край	16108
785	Валдай	Новгородская область	16099
786	Ясный	Оренбургская область	16082
787	Ужур	Красноярский край	16079
788	Новоульяновск	Ульяновская область	16032
789	Краснослободск	Волгоградская область	16007
790	Палласовка	Волгоградская область	15984
791	Светогорск	Ленинградская область	15973
792	Пестово	Новгородская область	15911
793	Данилов	Ярославская область	15861
794	Заполярный	Мурманская область	15835
795	Лакинск	Владимирская область	15707
796	Рыльск	Курская область	15667
797	Медвежьегорск	Карелия	15536
798	Грязовец	Вологодская область	15528
799	Ленинск	Волгоградская область	15527
800	Дегтярск	Свердловская область	15521
801	Купино	Новосибирская область	15448
802	Бодайбо	Иркутская область	15331
803	Венёв	Тульская область	15220
804	Жердевка	Тамбовская область	15211
805	Меленки	Владимирская область	15208
806	Петушки	Владимирская область	15167
807	Полярные Зори	Мурманская область	15106
808	Николаевск	Волгоградская область	15081
809	Белокуриха	Алтайский край	15072
810	Цимлянск	Ростовская область	15029
811	Александровск	Пермский край	15022
812	Трубчевск	Брянская область	15014
813	Очёр	Пермский край	15003
814	Нерчинск	Забайкальский край	14976
815	Лукоянов	Нижегородская область	14949
816	Карабаново	Владимирская область	14868
817	Кодинск	Красноярский край	14835
818	Емва	Коми	14574
819	Первомайск	Нижегородская область	14567
820	Вяземский	Хабаровский край	14556
821	Сим	Челябинская область	14465
822	Мамадыш	Татарстан	14432
823	Красный Кут	Саратовская область	14420
824	Струнино	Владимирская область	14372
825	Дубовка	Волгоградская область	14345
826	Лагань	Калмыкия	14323
827	Арамиль	Свердловская область	14227
828	Южа	Ивановская область	14170
829	Пересвет	Московская область	14142
830	Катайск	Курганская область	14017
831	Гороховец	Владимирская область	14015
832	Шилка	Забайкальский край	13947
833	Белёв	Тульская область	13918
834	Далматово	Курганская область	13913
835	Гвардейск	Калининградская область	13888
836	Фокино	Брянская область	13874
837	Калязин	Тверская область	13870
838	Талдом	Московская область	13819
839	Сясьстрой	Ленинградская область	13747
840	Свирск	Иркутская область	13649
841	Байкальск	Иркутская область	13589
842	Обоянь	Курская область	13562
843	Кудрово	Ленинградская область	13501
844	Руза	Московская область	13495
845	Цивильск	Чувашия	13478
846	Ак-Довурак	Тыва	13469
847	Краснозаводск	Московская область	13432
848	Шлиссельбург	Ленинградская область	13305
849	Петров Вал	Волгоградская область	13264
850	Яхрома	Московская область	13248
851	Могоча	Забайкальский край	13228
852	Хвалынск	Саратовская область	13199
853	Карабаш	Челябинская область	13151
854	Камешково	Владимирская область	13113
855	Кемь	Карелия	13061
856	Анадырь	Чукотский АО	13053
857	Горняк	Алтайский край	13040
858	Торопец	Тверская область	13018
859	Зеленоградск	Калининградская область	13015
860	Аркадак	Саратовская область	12846
861	Снежногорск	Мурманская область	12698
862	Адыгейск	Адыгея	12689
863	Уяр	Красноярский край	12666
864	Кораблино	Рязанская область	12657
865	Чаплыгин	Липецкая область	12656
866	Киренск	Иркутская область	12652
867	Удачный	Якутия	12611
868	Юрюзань	Челябинская область	12568
869	Балей	Забайкальский край	12536
870	Окуловка	Новгородская область	12464
871	Малая Вишера	Новгородская область	12461
872	Нязепетровск	Челябинская область	12452
873	Гурьевск	Калининградская область	12433
874	Новая Ляля	Свердловская область	12400
875	Сосенский	Калужская область	12394
876	Чкаловск	Нижегородская область	12371
877	Вуктыл	Коми	12357
878	Горнозаводск	Пермский край	12334
879	Урень	Нижегородская область	12311
880	Печоры	Псковская область	12308
881	Боровск	Калужская область	12283
882	Лихославль	Тверская область	12259
883	Долинск	Сахалинская область	12200
884	Волосово	Ленинградская область	12162
885	Жуков	Калужская область	12150
886	Сорск	Хакасия	12140
887	Называевск	Омская область	12119
888	Бабаево	Вологодская область	12074
889	Тюкалинск	Омская область	12050
890	Заволжск	Ивановская область	12045
891	Чулым	Новосибирская область	11964
892	Сосновка	Кировская область	11960
893	Звенигово	Марий Эл	11945
894	Углегорск	Сахалинская область	11880
895	Судогда	Владимирская область	11848
896	Верхний Тагил	Свердловская область	11843
897	Дрезна	Московская область	11815
898	Богучар	Воронежская область	11811
899	Неман	Калининградская область	11794
900	Михайлов	Рязанская область	11783
901	Невельск	Сахалинская область	11682
902	Сураж	Брянская область	11640
903	Ворсма	Нижегородская область	11622
904	Кремёнки	Калужская область	11617
905	Опочка	Псковская область	11601
906	Тетюши	Татарстан	11596
907	Хилок	Забайкальский край	11530
908	Питкяранта	Карелия	11484
909	Завитинск	Амурская область	11481
910	Болхов	Орловская область	11421
911	Эртиль	Воронежская область	11387
912	Нариманов	Астраханская область	11386
913	Петухово	Курганская область	11291
914	Луза	Кировская область	11262
915	Закаменск	Бурятия	11249
916	Белая Холуница	Кировская область	11232
917	Беломорск	Карелия	11217
918	Нижние Серги	Свердловская область	11217
919	Заозёрск	Мурманская область	11206
920	Зуевка	Кировская область	11198
921	Гаджиево	Мурманская область	11089
922	Камбарка	Удмуртия	11028
923	Пионерский	Калининградская область	11017
924	Гремячинск	Пермский край	11005
925	Щучье	Курганская область	10971
926	Шагонар	Тыва	10958
927	Дигора	Северная Осетия — Алания	10856
928	Светлогорск	Калининградская область	10775
929	Микунь	Коми	10732
930	Дорогобуж	Смоленская область	10720
931	Заозёрный	Красноярский край	10683
932	Высоковск	Московская область	10642
933	Каргат	Новосибирская область	10620
934	Щёлкино(Оспаривается)	Крым	10620
935	Александровск-Сахалинский	Сахалинская область	10613
936	Порхов	Псковская область	10608
937	Змеиногорск	Алтайский край	10569
938	Суздаль	Владимирская область	10535
939	Вытегра	Вологодская область	10490
940	Кола	Мурманская область	10447
941	Кирс	Кировская область	10420
942	Ермолино	Калужская область	10409
943	Козловка	Чувашия	10355
944	Сольцы	Новгородская область	10317
945	Вилюйск	Якутия	10233
946	Уржум	Кировская область	10213
947	Наволоки	Ивановская область	10207
948	Юрьевец	Ивановская область	10205
949	Миньяр	Челябинская область	10195
950	Мариинский Посад	Чувашия	10186
951	Нюрба	Якутия	10156
952	Краснослободск	Мордовия	10151
953	Каргополь	Архангельская область	10148
954	Ельня	Смоленская область	10095
955	Харовск	Вологодская область	10078
956	Южно-Сухокумск	Дагестан	10048
957	Рудня	Смоленская область	10029
958	Волчанск	Свердловская область	10008
959	Кувшиново	Тверская область	10008
960	Володарск	Нижегородская область	9924
961	Нея	Костромская область	9827
962	Ивангород	Ленинградская область	9797
963	Тотьма	Вологодская область	9784
964	Суоярви	Карелия	9763
965	Пудож	Карелия	9698
966	Задонск	Липецкая область	9695
967	Таруса	Калужская область	9656
968	Болохово	Тульская область	9619
969	Белозерск	Вологодская область	9614
970	Ядрин	Чувашия	9614
971	Городовиковск	Калмыкия	9565
972	Сковородино	Амурская область	9561
973	Нолинск	Кировская область	9556
974	Покровск	Якутия	9495
975	Олёкминск	Якутия	9487
976	Устюжна	Вологодская область	9478
977	Верхняя Тура	Свердловская область	9468
978	Верхнеуральск	Челябинская область	9459
979	Ардатов	Мордовия	9400
980	Облучье	Еврейская АО	9379
981	Западная Двина	Тверская область	9376
982	Серафимович	Волгоградская область	9368
983	Старый Крым(Оспаривается)	Крым	9277
984	Михайловск	Свердловская область	9215
985	Перевоз	Нижегородская область	9201
986	Костерёво	Владимирская область	9136
987	Теберда	Карачаево-Черкесия	9097
988	Дно	Псковская область	9061
989	Олонец	Карелия	9060
990	Чадан	Тыва	9037
991	Бирюсинск	Иркутская область	8981
992	Ветлуга	Нижегородская область	8956
993	Новая Ладога	Ленинградская область	8890
994	Верхотурье	Свердловская область	8815
995	Починок	Смоленская область	8776
996	Липки	Тульская область	8741
997	Комсомольск	Ивановская область	8693
998	Инсар	Мордовия	8687
999	Болгар	Татарстан	8650
1000	Старица	Тверская область	8610
1001	Пучеж	Ивановская область	8583
1002	Белинский	Пензенская область	8567
1003	Никольск	Вологодская область	8515
1004	Анива	Сахалинская область	8449
1005	Белоусово	Калужская область	8432
1006	Макушино	Курганская область	8337
1007	Медынь	Калужская область	8298
1008	Андреаполь	Тверская область	8265
1009	Малмыж	Кировская область	8265
1010	Салаир	Кемеровская область	8263
1011	Новосокольники	Псковская область	8119
1012	Сычёвка	Смоленская область	8111
1013	Городище	Пензенская область	8102
1014	Томмот	Якутия	8054
1015	Мглин	Брянская область	7916
1016	Бирюч	Белгородская область	7842
1017	Лахденпохья	Карелия	7818
1018	Алупка(Оспаривается)	Крым	7771
1019	Мамоново	Калининградская область	7757
1020	Спасск-Рязанский	Рязанская область	7745
1021	Кириллов	Вологодская область	7735
1022	Лаишево	Татарстан	7735
1023	Дмитриев	Курская область	7721
1024	Велиж	Смоленская область	7620
1025	Оханск	Пермский край	7597
1026	Полесск	Калининградская область	7580
1027	Советск	Тульская область	7537
1028	Спасск	Пензенская область	7442
1029	Демидов	Смоленская область	7333
1030	Весьегонск	Тверская область	7330
1031	Севск	Брянская область	7282
1032	Темников	Мордовия	7247
1033	Макарьев	Костромская область	7114
1034	Юхнов	Калужская область	7056
1035	Сурск	Пензенская область	7032
1036	Красавино	Вологодская область	7003
1037	Орлов	Кировская область	6959
1038	Сенгилей	Ульяновская область	6959
1039	Зубцов	Тверская область	6937
1040	Сретенск	Забайкальский край	6850
1041	Новохопёрск	Воронежская область	6849
1042	Курлово	Владимирская область	6791
1043	Макаров	Сахалинская область	6788
1044	Каменногорск	Ленинградская область	6761
1045	Мураши	Кировская область	6752
1046	Алзамай	Иркутская область	6751
1047	Княгинино	Нижегородская область	6708
1048	Шацк	Рязанская область	6562
1049	Солигалич	Костромская область	6438
1050	Гаврилов Посад	Ивановская область	6434
1051	Багратионовск	Калининградская область	6399
1052	Себеж	Псковская область	6375
1053	Грайворон	Белгородская область	6234
1054	Циолковский	Амурская область	6208
1055	Игарка	Красноярский край	6183
1056	Приморск	Ленинградская область	6122
1057	Пошехонье	Ярославская область	6085
1058	Шиханы	Саратовская область	6067
1059	Суджа	Курская область	6036
1060	Дмитровск	Орловская область	5956
1061	Мышкин	Ярославская область	5932
1062	Спас-Клепики	Рязанская область	5917
1063	Короча	Белгородская область	5877
1064	Сусуман	Магаданская область	5865
1065	Пыталово	Псковская область	5826
1066	Шенкурск	Архангельская область	5702
1067	Усолье	Пермский край	5694
1068	Красный Холм	Тверская область	5608
1069	Жиздра	Калужская область	5585
1070	Любим	Ярославская область	5553
1071	Злынка	Брянская область	5507
1072	Билибино	Чукотский АО	5504
1073	Фатеж	Курская область	5404
1074	Верея	Московская область	5368
1075	Чухлома	Костромская область	5209
1076	Туран	Тыва	4988
1077	Чердынь	Пермский край	4920
1078	Спас-Деменск	Калужская область	4904
1079	Кадников	Вологодская область	4797
1080	Озёрск	Калининградская область	4740
1081	Пустошка	Псковская область	4619
1082	Славск	Калининградская область	4614
1083	Нестеров	Калининградская область	4584
1084	Бабушкин	Бурятия	4542
1085	Томари	Сахалинская область	4537
1086	Гдов	Псковская область	4379
1087	Духовщина	Смоленская область	4370
1088	Правдинск	Калининградская область	4323
1089	Мосальск	Калужская область	4285
1090	Любань	Ленинградская область	4188
1091	Певек	Чукотский АО	4161
1092	Мещовск	Калужская область	4101
1093	Чёрмоз	Пермский край	4017
1094	Малоархангельск	Орловская область	3872
1095	Холм	Новгородская область	3829
1096	Новосиль	Орловская область	3799
1097	Ладушкин	Калининградская область	3788
1098	Белый	Тверская область	3771
1099	Новоржев	Псковская область	3695
1100	Мезень	Архангельская область	3599
1101	Среднеколымск	Якутия	3525
1102	Краснознаменск	Калининградская область	3522
1103	Кологрив	Костромская область	3314
1104	Магас	Ингушетия	2505
1105	Сольвычегодск	Архангельская область	2460
1106	Кедровый	Томская область	2451
1107	Северо-Курильск	Сахалинская область	2381
1108	Плёс	Ивановская область	2341
1109	Горбатов	Нижегородская область	2278
1110	Артёмовск	Красноярский край	2180
1111	Островной	Мурманская область	2177
1112	Курильск	Сахалинская область	2070
1113	Приморск	Калининградская область	1956
1114	Верхоянск	Якутия	1311
1115	Высоцк	Ленинградская область	1244
1116	Чекалин	Тульская область	994
1117	Иннополис	Татарстан	405
