№	Город	Регион	Население
373	Салехард	Ямало-Ненецкий АО	42494
374	Ефремов	Тульская область	42350
375	Стрежевой	Томская область	42216
376	Аксай	Ростовская область	41984
377	Переславль-Залесский	Ярославская область	41923
378	Ахтубинск	Астраханская область	41898
379	Кашира	Московская область	41880
380	Заинск	Татарстан	41798
381	Камень-на-Оби	Алтайский край	41787
382	Советск	Калининградская область	41709
383	Пугачёв	Саратовская область	41705
384	Лангепас	Ханты-Мансийский АО — Югра	41675
385	Бирск	Башкортостан	41637
386	Урюпинск	Волгоградская область	41594
387	Моршанск	Тамбовская область	41550
388	Пыть-Ях	Ханты-Мансийский АО — Югра	41453
389	Конаково	Тверская область	41303
390	Ртищево	Саратовская область	41295
391	Вязники	Владимирская область	41252
392	Кореновск	Краснодарский край	41179
393	Усинск	Коми	41100
394	Тутаев	Ярославская область	41001
395	Красный Сулин	Ростовская область	40866
396	Саянск	Иркутская область	40786
397	Новодвинск	Архангельская область	40612
398	Новозыбков	Брянская область	40552
399	Людиново	Калужская область	40550
400	Изобильный	Ставропольский край	40546
401	Мариинск	Кемеровская область	40522
402	Черняховск	Калининградская область	40464
403	Заволжье	Нижегородская область	40265
404	Апшеронск	Краснодарский край	40229
405	Красноуфимск	Свердловская область	39765
406	Коряжма	Архангельская область	39629
407	Каменка	Пензенская область	39579
408	Елизово	Камчатский край	39548
409	Фролово	Волгоградская область	39489
410	Урай	Ханты-Мансийский АО — Югра	39435
411	Большой Камень	Приморский край	39257
412	Тосно	Ленинградская область	39127
413	Алексеевка	Белгородская область	39026
414	Коркино	Челябинская область	38950
415	Кыштым	Челябинская область	38950
416	Лянтор	Ханты-Мансийский АО — Югра	38922
417	Моздок	Северная Осетия — Алания	38748
418	Реж	Свердловская область	38709
419	Партизанск	Приморский край	38648
420	Джанкой(Оспаривается)	Крым	38622
421	Шарыпово	Красноярский край	38570
422	Светлоград	Ставропольский край	38520
423	Сокол	Вологодская область	38454
424	Ирбит	Свердловская область	38352
425	Гай	Оренбургская область	38302
426	Алатырь	Чувашия	38202
427	Алапаевск	Свердловская область	38198
428	Темрюк	Краснодарский край	38014
429	Южноуральск	Челябинская область	37890
430	Учалы	Башкортостан	37771
431	Вичуга	Ивановская область	37609
432	Дальнегорск	Приморский край	37503
433	Протвино	Московская область	37308
434	Мирный	Якутия	37179
435	Нижнеудинск	Иркутская область	37056
436	Лесозаводск	Приморский край	36975
437	Баксан	Кабардино-Балкария	36857
438	Беслан	Северная Осетия — Алания	36724
439	Ялуторовск	Тюменская область	36494
440	Миллерово	Ростовская область	36493
441	Луга	Ленинградская область	36409
442	Кизилюрт	Дагестан	36187
443	Фурманов	Ивановская область	36149
444	Краснознаменск	Московская область	36057
445	Зеленокумск	Ставропольский край	35790
446	Кулебаки	Нижегородская область	35762
447	Добрянка	Пермский край	35720
448	Кандалакша	Мурманская область	35659
449	Тында	Амурская область	35574
450	Тайшет	Иркутская область	35481
451	Тавда	Свердловская область	35421
452	Сердобск	Пензенская область	35393
453	Валуйки	Белгородская область	35322
454	Гулькевичи	Краснодарский край	35225
455	Вятские Поляны	Кировская область	35159
456	Истра	Московская область	35106
457	Тейково	Ивановская область	34993
458	Абинск	Краснодарский край	34926
459	Азнакаево	Татарстан	34859
460	Новокубанск	Краснодарский край	34847
461	Сухой Лог	Свердловская область	34836
462	Углич	Ярославская область	34505
463	Кинель	Самарская область	34472
464	Благовещенск	Башкортостан	34246
465	Югорск	Ханты-Мансийский АО — Югра	34066
466	Слободской	Кировская область	33983
467	Острогожск	Воронежская область	33842
468	Трёхгорный	Челябинская область	33678
469	Сланцы	Ленинградская область	33587
470	Корсаков	Сахалинская область	33526
471	Касимов	Рязанская область	33494
472	Шумерля	Чувашия	33412
473	Муравленко	Ямало-Ненецкий АО	33401
474	Чернушка	Пермский край	33275
475	Сосновоборск	Красноярский край	33090
476	Кушва	Свердловская область	33027
477	Кондопога	Карелия	32978
478	Артёмовский	Свердловская область	32878
479	Шатура	Московская область	32836
480	Благодарный	Ставропольский край	32736
481	Балтийск	Калининградская область	32670
482	Нововоронеж	Воронежская область	32635
483	Нурлат	Татарстан	32600
484	Зима	Иркутская область	32522
485	Котельники	Московская область	32347
486	Приморско-Ахтарск	Краснодарский край	32253
487	Старая Русса	Новгородская область	32235
488	Инта	Коми	32021
489	Аша	Челябинская область	31916
490	Богородицк	Тульская область	31897
491	Киров	Калужская область	31888
492	Котовск	Тамбовская область	31851
493	Ростов	Ярославская область	31791
494	Богданович	Свердловская область	31752
495	Гагарин	Смоленская область	31721
496	Нарткала	Кабардино-Балкария	31679
497	Великий Устюг	Вологодская область	31664
498	Маркс	Саратовская область	31535
499	Можайск	Московская область	31388
500	Борзя	Забайкальский край	31376
501	Ликино-Дулёво	Московская область	31331
502	Дюртюли	Башкортостан	31272
503	Петровск	Саратовская область	31158
504	Карабулак	Ингушетия	31081
505	Малгобек	Ингушетия	31076
506	Удомля	Тверская область	31048
507	Холмск	Сахалинская область	30936
508	Кудымкар	Пермский край	30711
509	Городец	Нижегородская область	30699
510	Дагестанские Огни	Дагестан	30671
511	Усть-Джегута	Карачаево-Черкесия	30602
512	Верхний Уфалей	Челябинская область	30504
513	Малоярославец	Калужская область	30401
514	Скопин	Рязанская область	30374
515	Славгород	Алтайский край	30370
516	Мирный	Архангельская область	30259
517	Барабинск	Новосибирская область	30250
518	Еманжелинск	Челябинская область	30218
519	Сорочинск	Оренбургская область	30136
520	Горячий Ключ	Краснодарский край	30093
521	Киржач	Владимирская область	30044
522	Луховицы	Московская область	29849
523	Десногорск	Смоленская область	29677
524	Сегежа	Карелия	29660
525	Аргун	Чечня	29528
526	Дятьково	Брянская область	29438
527	Кохма	Ивановская область	29408
528	Знаменск	Астраханская область	29357
529	Дедовск	Московская область	29280
530	Североуральск	Свердловская область	29279
531	Карталы	Челябинская область	29136
532	Карпинск	Свердловская область	29118
533	Алушта(Оспаривается)	Крым	29078
534	Карасук	Новосибирская область	28929
535	Кировск	Мурманская область	28659
536	Топки	Кемеровская область	28642
537	Алейск	Алтайский край	28528
538	Кимовск	Тульская область	28493
539	Костомукша	Карелия	28433
540	Дивногорск	Красноярский край	28271
541	Гусев	Калининградская область	28260
542	Похвистнево	Самарская область	28181
543	Сасово	Рязанская область	28117
544	Сосногорск	Коми	27809
545	Советская Гавань	Хабаровский край	27712
546	Нефтекумск	Ставропольский край	27700
547	Морозовск	Ростовская область	27644
548	Полысаево	Кемеровская область	27624
549	Дальнереченск	Приморский край	27601
550	Губаха	Пермский край	27544
551	Бахчисарай(Оспаривается)	Крым	27448
552	Медногорск	Оренбургская область	27253
553	Октябрьск	Самарская область	27244
554	Бутурлиновка	Воронежская область	27208
555	Янаул	Башкортостан	26988
556	Лабытнанги	Ямало-Ненецкий АО	26948
557	Калач-на-Дону	Волгоградская область	26892
558	Камышлов	Свердловская область	26875
559	Зерноград	Ростовская область	26850
560	Уварово	Тамбовская область	26829
561	Заречный	Свердловская область	26803
562	Новоалександровск	Ставропольский край	26759
563	Майский	Кабардино-Балкария	26755
564	Тара	Омская область	26664
565	Новопавловск	Ставропольский край	26556
566	Советский	Ханты-Мансийский АО — Югра	26434
567	Балабаново	Калужская область	26337
568	Родники	Ивановская область	26318
569	Соль-Илецк	Оренбургская область	26308
570	Красноармейск	Московская область	26294
571	Красноперекопск(Оспаривается)	Крым	26268
572	Унеча	Брянская область	26196
573	Кувандык	Оренбургская область	26176
574	Обь	Новосибирская область	26137
575	Железногорск-Илимский	Иркутская область	26134
576	Татарск	Новосибирская область	26114
577	Ипатово	Ставропольский край	26055
578	Семилуки	Воронежская область	26025
579	Исилькуль	Омская область	25905
580	Озёры	Московская область	25788
581	Буй	Костромская область	25763
582	Курчалой	Чечня	25672
583	Заводоуковск	Тюменская область	25657
584	Кировск	Ленинградская область	25633
585	Аткарск	Саратовская область	25620
586	Асино	Томская область	25614
587	Киреевск	Тульская область	25585
588	Богородск	Нижегородская область	25497
589	Тайга	Кемеровская область	25330
590	Невьянск	Свердловская область	25147
591	Саки(Оспаривается)	Крым	25146
592	Павловск	Воронежская область	25126
593	Зея	Амурская область	25042
594	Котельнич	Кировская область	24979
595	Красноуральск	Свердловская область	24973
596	Ленск	Якутия	24955
597	Гурьевск	Кемеровская область	24816
598	Зарайск	Московская область	24648
599	Бежецк	Тверская область	24517
600	Железноводск	Ставропольский край	24496
601	Семёнов	Нижегородская область	24472
602	Красноармейск	Саратовская область	24362
603	Колпашево	Томская область	24126
604	Котово	Волгоградская область	24104
605	Давлеканово	Башкортостан	24040
606	Калачинск	Омская область	24000
607	Строитель	Белгородская область	23933
608	Вельск	Архангельская область	23885
609	Семикаракорск	Ростовская область	23884
610	Отрадное	Ленинградская область	23874
611	Карачаевск	Карачаево-Черкесия	23848
612	Фокино	Приморский край	23683
613	Северобайкальск	Бурятия	23673
614	Шарья	Костромская область	23668
615	Омутнинск	Кировская область	23618
616	Усть-Катав	Челябинская область	23586
617	Бологое	Тверская область	23499
618	Волоколамск	Московская область	23386
619	Губкинский	Ямало-Ненецкий АО	23340
620	Гусиноозёрск	Бурятия	23280
621	Таштагол	Кемеровская область	23114
622	Оленегорск	Мурманская область	23079
623	Оха	Сахалинская область	23007
624	Кубинка	Московская область	22918
625	Вилючинск	Камчатский край	22905
626	Нелидово	Тверская область	22886
627	Нерехта	Костромская область	22817
628	Николаевск-на-Амуре	Хабаровский край	22773
629	Верещагино	Пермский край	22760
630	Нижний Ломов	Пензенская область	22678
631	Лосино-Петровский	Московская область	22550
632	Лермонтов	Ставропольский край	22540
633	Вихоревка	Иркутская область	22528
634	Никольск	Пензенская область	22471
635	Оса	Пермский край	22420
636	Зверево	Ростовская область	22416
637	Няндома	Архангельская область	22354
638	Дудинка	Красноярский край	22207
639	Электрогорск	Московская область	22120
640	Бавлы	Татарстан	22109
641	Менделеевск	Татарстан	22075
642	Армянск(Оспаривается)	Крым	21987
643	Кировград	Свердловская область	21959
644	Калтан	Кемеровская область	21893
645	Лысково	Нижегородская область	21882
646	Старая Купавна	Московская область	21859
647	Куровское	Московская область	21821
648	Ряжск	Рязанская область	21676
649	Остров	Псковская область	21670
650	Хотьково	Московская область	21612
651	Нижняя Тура	Свердловская область	21596
652	Хадыженск	Краснодарский край	21580
653	Пикалёво	Ленинградская область	21567
654	Тогучин	Новосибирская область	21531
655	Льгов	Курская область	21452
656	Ершов	Саратовская область	21447
657	Сергач	Нижегородская область	21387
658	Светлый	Калининградская область	21380
659	Онега	Архангельская область	21359
660	Шахунья	Нижегородская область	21337
661	Ковылкино	Мордовия	21307
662	Нарьян-Мар	Ненецкий АО	21296
663	Алдан	Якутия	21277
664	Рошаль	Московская область	21265
665	Козьмодемьянск	Марий Эл	21262
666	Бронницы	Московская область	21102
667	Данков	Липецкая область	21056
668	Лодейное Поле	Ленинградская область	21053
669	Боготол	Красноярский край	21029
670	Тырныауз	Кабардино-Балкария	21000
671	Лебедянь	Липецкая область	20991
672	Черноголовка	Московская область	20986
673	Бакал	Челябинская область	20953
674	Алагир	Северная Осетия — Алания	20949
675	Абдулино	Оренбургская область	20663
676	Сысерть	Свердловская область	20594
677	Суровикино	Волгоградская область	20527
678	Райчихинск	Амурская область	20499
679	Котельниково	Волгоградская область	20441
680	Тарко-Сале	Ямало-Ненецкий АО	20372
681	Среднеуральск	Свердловская область	20357
682	Буинск	Татарстан	20342
683	Белоярский	Ханты-Мансийский АО — Югра	20283
684	Кизел	Пермский край	20277
685	Пролетарск	Ростовская область	20267
686	Коммунар	Ленинградская область	20265
687	Пущино	Московская область	20263
688	Электроугли	Московская область	20120
689	Калач	Воронежская область	20046
690	Кяхта	Бурятия	20013
691	Шимановск	Амурская область	19815
692	Мурино	Ленинградская область	19775
693	Бобров	Воронежская область	19738
694	Карачев	Брянская область	19715
695	Юрьев-Польский	Владимирская область	19588
696	Новый Оскол	Белгородская область	19530
697	Собинка	Владимирская область	19482
698	Черепаново	Новосибирская область	19346
699	Никольское	Ленинградская область	19345
700	Новомичуринск	Рязанская область	19309
701	Агрыз	Татарстан	19299
702	Сортавала	Карелия	19215
703	Терек	Кабардино-Балкария	19170
704	Нытва	Пермский край	19041
705	Стародуб	Брянская область	19010
706	Суворов	Тульская область	18975
707	Приозерск	Ленинградская область	18929
708	Ковдор	Мурманская область	18836
709	Куса	Челябинская область	18792
710	Ардон	Северная Осетия — Алания	18774
711	Енисейск	Красноярский край	18769
712	Усмань	Липецкая область	18752
713	Нефтегорск	Самарская область	18732
714	Подпорожье	Ленинградская область	18729
715	Петровск-Забайкальский	Забайкальский край	18555
716	Инза	Ульяновская область	18547
717	Слюдянка	Иркутская область	18542
718	Апрелевка	Московская область	18467
719	Рыбное	Рязанская область	18378
720	Талица	Свердловская область	18339
721	Жуковка	Брянская область	18269
722	Радужный	Владимирская область	18212
723	Харабали	Астраханская область	18209
724	Козельск	Калужская область	18203
725	Арск	Татарстан	18114
726	Яровое	Алтайский край	18085
727	Осташков	Тверская область	18073
728	Туринск	Свердловская область	17990
729	Чегем	Кабардино-Балкария	17988
730	Нижняя Салда	Свердловская область	17969
731	Почеп	Брянская область	17933
732	Сельцо	Брянская область	17933
733	Константиновск	Ростовская область	17926
734	Новоаннинский	Волгоградская область	17911
735	Белоозёрский	Московская область	17842
736	Шумиха	Курганская область	17821
737	Гаврилов-Ям	Ярославская область	17792
738	Ивдель	Свердловская область	17764
739	Покров	Владимирская область	17762
740	Баймак	Башкортостан	17710
741	Кукмор	Татарстан	17700
742	Поворино	Воронежская область	17692
743	Катав-Ивановск	Челябинская область	17640
744	Мантурово	Костромская область	17479
745	Голицыно	Московская область	17447
746	Бородино	Красноярский край	17423
747	Межгорье	Башкортостан	17353
748	Галич	Костромская область	17346
749	Пласт	Челябинская область	17344
750	Полярный	Мурманская область	17304
751	Яранск	Кировская область	17252
752	Кирсанов	Тамбовская область	17240
753	Бикин	Хабаровский край	17156
754	Барыш	Ульяновская область	17149
755	Красновишерск	Пермский край	17129
756	Абаза	Хакасия	17111
757	Волгореченск	Костромская область	17108
758	Куртамыш	Курганская область	17098
759	Покачи	Ханты-Мансийский АО — Югра	17053
