id,name,description,difficulty,image,emoji,created_at,total_shown,total_correct,category
32,Brunei,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Flag_of_Brunei.svg/40px-Flag_of_Brunei.svg.png,,2025-09-07 15:57:35,0,0,country
33,Bulgaria,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/Flag_of_Bulgaria.svg/40px-Flag_of_Bulgaria.svg.png,,2025-09-07 15:57:35,0,0,country
34,Burkina Faso,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Flag_of_Burkina_Faso.svg/40px-Flag_of_Burkina_Faso.svg.png,,2025-09-07 15:57:35,0,0,country
35,Burundi,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Flag_of_Burundi.svg/40px-Flag_of_Burundi.svg.png,,2025-09-07 15:57:35,0,0,country
36,Cambodia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Flag_of_Cambodia.svg/40px-Flag_of_Cambodia.svg.png,,2025-09-07 15:57:35,0,0,country
37,Cameroon,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4f/Flag_of_Cameroon.svg/40px-Flag_of_Cameroon.svg.png,,2025-09-07 15:57:35,0,0,country
38,Canada,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Flag_of_Canada_%28Pantone%29.svg/40px-Flag_of_Canada_%28Pantone%29.svg.png,,2025-09-07 15:57:35,0,0,country
39,Cape Verde,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Flag_of_Cape_Verde.svg/40px-Flag_of_Cape_Verde.svg.png,,2025-09-07 15:57:35,0,0,country
40,Cayman Islands,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0f/Flag_of_the_Cayman_Islands.svg/40px-Flag_of_the_Cayman_Islands.svg.png,,2025-09-07 15:57:35,0,0,country
41,Central African Republic,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Central_African_Republic.svg/40px-Flag_of_the_Central_African_Republic.svg.png,,2025-09-07 15:57:35,0,0,country
42,Chad,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Flag_of_Chad.svg/40px-Flag_of_Chad.svg.png,,2025-09-07 15:57:35,0,0,country
43,Chile,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Flag_of_Chile.svg/40px-Flag_of_Chile.svg.png,,2025-09-07 15:57:35,0,0,country
44,China (People's Republic of),UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/40px-Flag_of_the_People%27s_Republic_of_China.svg.png,,2025-09-07 15:57:35,0,0,country
45,Christmas Island,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Flag_of_Christmas_Island.svg/40px-Flag_of_Christmas_Island.svg.png,,2025-09-07 15:57:35,0,0,country
46,Cocos Islands,dependent,0,https://upload.wikimedia.org/wikipedia/commons/thumb/7/74/Flag_of_the_Cocos_%28Keeling%29_Islands.svg/40px-Flag_of_the_Cocos_%28Keeling%29_Islands.svg.png,,2025-09-07 15:57:35,0,0,country
47,Colombia,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Colombia.svg/40px-Flag_of_Colombia.svg.png,,2025-09-07 15:57:35,0,0,country
48,Comoros,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Flag_of_the_Comoros.svg/40px-Flag_of_the_Comoros.svg.png,,2025-09-07 15:57:35,0,0,country
49,Republic of the Congo,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/92/Flag_of_the_Republic_of_the_Congo.svg/40px-Flag_of_the_Republic_of_the_Congo.svg.png,,2025-09-07 15:57:35,0,0,country
50,Democratic Republic of the Congo,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/20px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png,,2025-09-07 15:57:35,0,0,country
51,Cook Islands,partial-recognition,0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Flag_of_the_Cook_Islands.svg/40px-Flag_of_the_Cook_Islands.svg.png,,2025-09-07 15:57:35,0,0,country
52,Costa Rica,UN,0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/Flag_of_Costa_Rica.svg/40px-Flag_of_Costa_Rica.svg.png,,2025-09-07 15:57:35,0,0,country
